2023-06-01 16:14:53,245 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1, 'prefix_size': 10}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 4}, 'handler': 'Validator'} 
2023-06-01 17:04:10,808 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1, 'prefix_size': 10}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 6}, 'handler': 'Validator'} 
2023-06-01 17:04:10,937 - DEBUG:  prepare: started 
2023-06-01 17:04:11,911 - DEBUG:  prepare: fillna finished 
2023-06-01 17:05:18,448 - DEBUG:  prepare: normalize finished
2023-06-01 17:06:00,748 - DEBUG:  prepare: classify_sellers finished
2023-06-01 17:06:04,872 - DEBUG:  encode: fitted 
2023-06-01 17:06:07,025 - DEBUG:  encode: test transformed 
2023-06-01 17:06:07,025 - DEBUG:  prepare: finished
2023-06-01 17:12:23,991 - DEBUG:  model: learned
2023-06-01 17:12:31,331 - DEBUG:  model: predicted
2023-06-01 17:12:31,337 - INFO:  model: MAPE= 0.13149478847831372 
2023-06-01 17:12:33,063 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1, 'prefix_size': 12}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 6}, 'handler': 'Validator'} 
2023-06-01 17:12:33,188 - DEBUG:  prepare: started 
2023-06-01 17:12:34,132 - DEBUG:  prepare: fillna finished 
2023-06-01 17:13:40,634 - DEBUG:  prepare: normalize finished
2023-06-01 17:14:22,414 - DEBUG:  prepare: classify_sellers finished
2023-06-01 17:14:26,419 - DEBUG:  encode: fitted 
2023-06-01 17:14:28,577 - DEBUG:  encode: test transformed 
2023-06-01 17:14:28,578 - DEBUG:  prepare: finished
2023-06-01 17:20:59,582 - DEBUG:  model: learned
2023-06-01 17:21:06,801 - DEBUG:  model: predicted
2023-06-01 17:21:06,806 - INFO:  model: MAPE= 0.13204396519648323 
2023-06-01 17:21:08,638 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1, 'prefix_size': 15}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 6}, 'handler': 'Validator'} 
2023-06-01 17:21:08,773 - DEBUG:  prepare: started 
2023-06-01 17:21:09,762 - DEBUG:  prepare: fillna finished 
2023-06-01 17:22:16,953 - DEBUG:  prepare: normalize finished
2023-06-01 17:22:58,619 - DEBUG:  prepare: classify_sellers finished
2023-06-01 17:23:02,628 - DEBUG:  encode: fitted 
2023-06-01 17:23:04,854 - DEBUG:  encode: test transformed 
2023-06-01 17:23:04,854 - DEBUG:  prepare: finished
2023-06-01 17:29:19,064 - DEBUG:  model: learned
2023-06-01 17:29:25,946 - DEBUG:  model: predicted
2023-06-01 17:29:25,951 - INFO:  model: MAPE= 0.13227864388914465 
2023-06-01 17:29:27,724 - INFO:  init params: {'rounding': {'odometer': 3000, 'condition': 1, 'prefix_size': 10}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 4}, 'handler': 'Validator'} 
2023-06-01 17:29:27,858 - DEBUG:  prepare: started 
2023-06-01 17:29:28,871 - DEBUG:  prepare: fillna finished 
2023-06-01 17:30:37,244 - DEBUG:  prepare: normalize finished
2023-06-01 17:31:15,434 - DEBUG:  prepare: classify_sellers finished
2023-06-01 17:31:19,484 - DEBUG:  encode: fitted 
2023-06-01 17:31:21,764 - DEBUG:  encode: test transformed 
2023-06-01 17:31:21,765 - DEBUG:  prepare: finished
2023-06-01 17:37:43,400 - DEBUG:  model: learned
2023-06-01 17:37:50,691 - DEBUG:  model: predicted
2023-06-01 17:37:50,696 - INFO:  model: MAPE= 0.133329046879516 
2023-06-01 17:37:52,399 - INFO:  init params: {'rounding': {'odometer': 3000, 'condition': 1, 'prefix_size': 12}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 4}, 'handler': 'Validator'} 
2023-06-01 17:37:52,527 - DEBUG:  prepare: started 
2023-06-01 17:37:53,438 - DEBUG:  prepare: fillna finished 
2023-06-01 17:38:59,932 - DEBUG:  prepare: normalize finished
2023-06-01 17:39:38,102 - DEBUG:  prepare: classify_sellers finished
2023-06-01 17:39:42,069 - DEBUG:  encode: fitted 
2023-06-01 17:39:44,227 - DEBUG:  encode: test transformed 
2023-06-01 17:39:44,227 - DEBUG:  prepare: finished
2023-06-01 17:46:04,573 - DEBUG:  model: learned
2023-06-01 17:46:11,450 - DEBUG:  model: predicted
2023-06-01 17:46:11,456 - INFO:  model: MAPE= 0.1339745823368105 
2023-06-01 17:46:13,128 - INFO:  init params: {'rounding': {'odometer': 3000, 'condition': 1, 'prefix_size': 15}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 4}, 'handler': 'Validator'} 
2023-06-01 17:46:13,252 - DEBUG:  prepare: started 
2023-06-01 17:46:14,200 - DEBUG:  prepare: fillna finished 
2023-06-01 17:47:20,839 - DEBUG:  prepare: normalize finished
2023-06-01 17:47:58,939 - DEBUG:  prepare: classify_sellers finished
2023-06-01 17:48:02,881 - DEBUG:  encode: fitted 
2023-06-01 17:48:04,991 - DEBUG:  encode: test transformed 
2023-06-01 17:48:04,991 - DEBUG:  prepare: finished
2023-06-01 17:54:26,341 - DEBUG:  model: learned
2023-06-01 17:54:33,719 - DEBUG:  model: predicted
2023-06-01 17:54:33,725 - INFO:  model: MAPE= 0.1348661915155183 
2023-06-01 17:54:35,471 - INFO:  init params: {'rounding': {'odometer': 3000, 'condition': 1, 'prefix_size': 10}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 5}, 'handler': 'Validator'} 
2023-06-01 17:54:35,609 - DEBUG:  prepare: started 
2023-06-01 17:54:36,520 - DEBUG:  prepare: fillna finished 
2023-06-01 17:55:42,959 - DEBUG:  prepare: normalize finished
2023-06-01 17:56:22,898 - DEBUG:  prepare: classify_sellers finished
2023-06-01 17:56:27,074 - DEBUG:  encode: fitted 
2023-06-01 17:56:29,251 - DEBUG:  encode: test transformed 
2023-06-01 17:56:29,252 - DEBUG:  prepare: finished
2023-06-01 18:02:39,227 - DEBUG:  model: learned
2023-06-01 18:02:46,166 - DEBUG:  model: predicted
2023-06-01 18:02:46,171 - INFO:  model: MAPE= 0.13461268963445164 
2023-06-01 18:02:47,933 - INFO:  init params: {'rounding': {'odometer': 3000, 'condition': 1, 'prefix_size': 12}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 5}, 'handler': 'Validator'} 
2023-06-01 18:02:48,067 - DEBUG:  prepare: started 
2023-06-01 18:02:49,057 - DEBUG:  prepare: fillna finished 
2023-06-01 18:03:55,707 - DEBUG:  prepare: normalize finished
2023-06-01 18:04:35,609 - DEBUG:  prepare: classify_sellers finished
2023-06-01 18:04:39,652 - DEBUG:  encode: fitted 
2023-06-01 18:04:41,916 - DEBUG:  encode: test transformed 
2023-06-01 18:04:41,917 - DEBUG:  prepare: finished
2023-06-01 18:10:49,242 - DEBUG:  model: learned
2023-06-01 18:10:56,389 - DEBUG:  model: predicted
2023-06-01 18:10:56,395 - INFO:  model: MAPE= 0.13544794174208244 
2023-06-01 18:10:58,088 - INFO:  init params: {'rounding': {'odometer': 3000, 'condition': 1, 'prefix_size': 15}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 5}, 'handler': 'Validator'} 
2023-06-01 18:10:58,207 - DEBUG:  prepare: started 
2023-06-01 18:10:59,143 - DEBUG:  prepare: fillna finished 
2023-06-01 18:12:05,684 - DEBUG:  prepare: normalize finished
2023-06-01 18:12:45,687 - DEBUG:  prepare: classify_sellers finished
2023-06-01 18:12:49,636 - DEBUG:  encode: fitted 
2023-06-01 18:12:51,749 - DEBUG:  encode: test transformed 
2023-06-01 18:12:51,749 - DEBUG:  prepare: finished
2023-06-01 18:18:56,410 - DEBUG:  model: learned
2023-06-01 18:19:03,541 - DEBUG:  model: predicted
2023-06-01 18:19:03,547 - INFO:  model: MAPE= 0.1362038155302887 
2023-06-01 18:19:05,352 - INFO:  init params: {'rounding': {'odometer': 3000, 'condition': 1, 'prefix_size': 10}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 6}, 'handler': 'Validator'} 
2023-06-01 18:19:05,479 - DEBUG:  prepare: started 
2023-06-01 18:19:06,462 - DEBUG:  prepare: fillna finished 
2023-06-01 18:20:12,759 - DEBUG:  prepare: normalize finished
2023-06-01 18:20:54,320 - DEBUG:  prepare: classify_sellers finished
2023-06-01 18:20:58,506 - DEBUG:  encode: fitted 
2023-06-01 18:21:00,694 - DEBUG:  encode: test transformed 
2023-06-01 18:21:00,694 - DEBUG:  prepare: finished
2023-06-01 18:26:49,773 - DEBUG:  model: learned
2023-06-01 18:26:56,777 - DEBUG:  model: predicted
2023-06-01 18:26:56,783 - INFO:  model: MAPE= 0.13560442976460338 
2023-06-01 18:26:58,460 - INFO:  init params: {'rounding': {'odometer': 3000, 'condition': 1, 'prefix_size': 12}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 6}, 'handler': 'Validator'} 
2023-06-01 18:26:58,591 - DEBUG:  prepare: started 
2023-06-01 18:26:59,498 - DEBUG:  prepare: fillna finished 
2023-06-01 18:28:05,872 - DEBUG:  prepare: normalize finished
2023-06-01 18:28:49,059 - DEBUG:  prepare: classify_sellers finished
2023-06-01 18:28:53,245 - DEBUG:  encode: fitted 
2023-06-01 18:28:55,451 - DEBUG:  encode: test transformed 
2023-06-01 18:28:55,451 - DEBUG:  prepare: finished
2023-06-01 18:34:58,761 - DEBUG:  model: learned
2023-06-01 18:35:08,783 - DEBUG:  model: predicted
2023-06-01 18:35:08,790 - INFO:  model: MAPE= 0.1367956188365341 
2023-06-01 18:35:12,424 - INFO:  init params: {'rounding': {'odometer': 3000, 'condition': 1, 'prefix_size': 15}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 6}, 'handler': 'Validator'} 
2023-06-01 18:35:12,564 - DEBUG:  prepare: started 
2023-06-01 18:35:13,800 - DEBUG:  prepare: fillna finished 
2023-06-01 18:36:34,341 - DEBUG:  prepare: normalize finished
2023-06-01 18:37:27,435 - DEBUG:  prepare: classify_sellers finished
2023-06-01 18:37:31,911 - DEBUG:  encode: fitted 
2023-06-01 18:37:34,253 - DEBUG:  encode: test transformed 
2023-06-01 18:37:34,253 - DEBUG:  prepare: finished
2023-06-01 18:43:56,935 - DEBUG:  model: learned
2023-06-01 18:44:04,907 - DEBUG:  model: predicted
2023-06-01 18:44:04,916 - INFO:  model: MAPE= 0.1374075418680119 
2023-06-01 18:44:06,834 - INFO:  init params: {'rounding': {'odometer': 600, 'condition': 1, 'prefix_size': 10}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 4}, 'handler': 'Validator'} 
2023-06-01 18:44:06,966 - DEBUG:  prepare: started 
2023-06-01 18:44:08,048 - DEBUG:  prepare: fillna finished 
2023-06-01 18:45:21,223 - DEBUG:  prepare: normalize finished
2023-06-01 18:46:03,122 - DEBUG:  prepare: classify_sellers finished
2023-06-01 18:46:07,490 - DEBUG:  encode: fitted 
2023-06-01 18:46:09,874 - DEBUG:  encode: test transformed 
2023-06-01 18:46:09,874 - DEBUG:  prepare: finished
2023-06-01 18:52:54,223 - DEBUG:  model: learned
2023-06-01 18:53:03,032 - DEBUG:  model: predicted
2023-06-01 18:53:03,038 - INFO:  model: MAPE= 0.14003545305790321 
2023-06-01 18:53:04,944 - INFO:  init params: {'rounding': {'odometer': 600, 'condition': 1, 'prefix_size': 12}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 4}, 'handler': 'Validator'} 
2023-06-01 18:53:05,077 - DEBUG:  prepare: started 
2023-06-01 18:53:06,128 - DEBUG:  prepare: fillna finished 
2023-06-01 18:54:21,888 - DEBUG:  prepare: normalize finished
2023-06-01 18:55:04,027 - DEBUG:  prepare: classify_sellers finished
2023-06-01 18:55:08,670 - DEBUG:  encode: fitted 
2023-06-01 18:55:11,041 - DEBUG:  encode: test transformed 
2023-06-01 18:55:11,041 - DEBUG:  prepare: finished
2023-06-01 19:01:51,928 - DEBUG:  model: learned
2023-06-01 19:01:59,541 - DEBUG:  model: predicted
2023-06-01 19:01:59,547 - INFO:  model: MAPE= 0.14074428819333681 
2023-06-01 19:02:01,429 - INFO:  init params: {'rounding': {'odometer': 600, 'condition': 1, 'prefix_size': 15}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 4}, 'handler': 'Validator'} 
2023-06-01 19:02:01,557 - DEBUG:  prepare: started 
2023-06-01 19:02:02,563 - DEBUG:  prepare: fillna finished 
2023-06-01 19:03:11,352 - DEBUG:  prepare: normalize finished
2023-06-01 19:03:51,050 - DEBUG:  prepare: classify_sellers finished
2023-06-01 19:03:55,321 - DEBUG:  encode: fitted 
2023-06-01 19:03:57,525 - DEBUG:  encode: test transformed 
2023-06-01 19:03:57,525 - DEBUG:  prepare: finished
2023-06-01 19:10:19,827 - DEBUG:  model: learned
2023-06-01 19:10:27,459 - DEBUG:  model: predicted
2023-06-01 19:10:27,464 - INFO:  model: MAPE= 0.14225734600275192 
2023-06-01 19:10:29,221 - INFO:  init params: {'rounding': {'odometer': 600, 'condition': 1, 'prefix_size': 10}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 5}, 'handler': 'Validator'} 
2023-06-01 19:10:29,343 - DEBUG:  prepare: started 
2023-06-01 19:10:30,315 - DEBUG:  prepare: fillna finished 
